Dataset,Mean (dB),Median (dB),Standard Deviation (dB),Variance (dB),1st Quartile (dB),3rd Quartile (dB),Min (dB),Max (dB),5% Trimmed Mean (dB),20% Trimmed Mean (dB)
Arts Morning,64.1272937833333,64.06626125,1.57248710892353,2.47271570773068,63.0618,65.06811,59.9085175,67.91784,64.1252957042253,64.0983769375
Arts Afternoon,69.6344521333333,69.5914125,2.2148647331257,4.90562578604399,68.0888,71.458845,64.1238725,73.73061,69.6643299647887,69.6844374166667
Arts Evening,64.6985692833333,64.760285,2.61897806347744,6.85904609697604,62.967295,66.7999375,58.8563825,70.0175325,64.7194564964789,64.8015891041667
Front Morning,73.1363792666667,73.12302625,1.63494584334949,2.67304791068578,72.0129425,74.069505,68.7284525,78.688195,73.1188785211267,73.0996553125
Front Afternoon,68.5734183825397,68.62352125,2.10095426555457,4.41400882595196,67.20638,69.98089,63.0920875,74.019985,68.5788826928236,68.5819073125
Front Evening,68.7620536333333,68.79177375,2.13854582318699,4.57337823787052,67.4126425,70.2781525,61.6276525,73.92898,68.7852081514085,68.7948035625
Sports Morning,66.7327792530698,66.6338506377551,2.09256444993186,4.37882597711863,65.34416,68.2351625,61.6220175,71.3846492156863,66.7428060522116,66.7384273402968
Sports Afternoon,66.296593656646,66.06775,2.21253740155773,4.89532175329185,64.806,68.0105,61.41045,72.31255,66.2717045668796,66.24439125
Sports Evening,72.0941467,72.12813375,1.77291729361823,3.1432357300106,71.1887925,73.0731775,67.3316125,77.5675675,72.0938029049296,72.0968153125
